text_column,tokenized_text
"Hebron is not occupied its under PA
Israel has security responsibility to arrest people that threat to its country and cause a risk in engaging terror

I pity his daugther to have witness it because her father chose to be a criminal","['hebron', 'occupied', 'pa', 'israel', 'security', 'responsibility', 'arrest', 'people', 'threat', 'country', 'cause', 'risk', 'engaging', 'terror', 'pity', 'daugther', 'witness', 'father', 'chose', 'criminal']"
Well done on the space Truth Appreciate you,"['well', 'done', 'space', 'truth', 'appreciate']"
Thanks I appreciate you coming on,"['thanks', 'appreciate', 'coming']"
Great news,"['great', 'news']"
But hamas made me do it,"['hamas', 'made']"
Toddler among US hostages in Gaza – White House,"['toddler', 'among', 'us', 'hostages', 'gaza', 'white', 'house']"
The White House says that a threeyearold American whose parents were killed by Hamas is among the hostages in Gaza,"['white', 'house', 'says', 'threeyearold', 'american', 'whose', 'parents', 'killed', 'hamas', 'among', 'hostages', 'gaza']"
President Joe Biden raised  the issue of hostages including a toddler,"['president', 'joe', 'biden', 'raised', 'issue', 'hostages', 'including', 'toddler']"
i hope he wont get a heartattack or carswimmingaccident in the next time,"['hope', 'wont', 'get', 'heartattack', 'carswimmingaccident', 'next', 'time']"
Palestinians appreciate very much every effort that comes in support of their cause,"['palestinians', 'appreciate', 'much', 'every', 'effort', 'comes', 'support', 'cause']"
Why is not on our major news outlets,"['major', 'news', 'outlets']"
Good luck with that Israel is doing everything by the book,"['good', 'luck', 'israel', 'everything', 'book']"
"Zionists mocking proPalestine protesters Disgusting behaviour from disgusting people

palestine savepalestine savegaza palestina palestinian jerusalem children israel alquds bds islam alaqsa prayforpalestine gazastrip turkey savepalestina savealaqsa muslim…","['zionists', 'mocking', 'propalestine', 'protesters', 'disgusting', 'behaviour', 'disgusting', 'people', 'palestine', 'savepalestine', 'savegaza', 'palestina', 'palestinian', 'jerusalem', 'children', 'israel', 'alquds', 'bds', 'islam', 'alaqsa', 'prayforpalestine', 'gazastrip', 'turkey', 'savepalestina', 'savealaqsa']"
"Dua 

Mere we can do for Palestine is 
Make Dua
Make Dua for Palestine
It will make our brothers in Palestine victorious

God willing

PrayForPalestine","['dua', 'mere', 'palestine', 'make', 'dua', 'make', 'dua', 'palestine', 'make', 'brothers', 'palestine', 'victorious', 'god', 'willing', 'prayforpalestine']"
"In memory of more than 10000 martyrs of the Gaza Strip a magnificent demonstration was held at Oslo Railway Station by Norwegians FreePalaestine PrayForPalestine GazaUnderAttack GazaGenocide 
","['memory', '10000', 'martyrs', 'gaza', 'strip', 'magnificent', 'demonstration', 'held', 'oslo', 'railway', 'station', 'norwegians', 'freepalaestine', 'prayforpalestine', 'gazaunderattack', 'gazagenocide']"
"Their mosques are being heated under the bombs theyre still not missing any prayers

Our mosques are being cooled with fans and ACs and were still skipping all 5 prayers
JummahMubarak PrayForPalestine","['mosques', 'heated', 'bombs', 'theyre', 'still', 'missing', 'prayers', 'mosques', 'cooled', 'fans', 'acs', 'still', 'skipping', '5', 'prayers', 'jummahmubarak', 'prayforpalestine']"
"Yemen  Stand with Palestine  

WeStandWithPalestine
PrayForPalestine
IsraelisATerorristState","['yemen', 'stand', 'palestine', 'westandwithpalestine', 'prayforpalestine', 'israelisaterorriststate']"
"Assalamuwalaikum 
A father lost his four children his world has come to an end May Allah protect the people of Palestine Amen  

freepalestian 
PrayForPalestine","['assalamuwalaikum', 'father', 'lost', 'four', 'children', 'world', 'come', 'end', 'may', 'allah', 'protect', 'people', 'palestine', 'amen', 'freepalestian', 'prayforpalestine']"
"Hezbollahs antiship missiles a little remedy for those pesky foreign warships in the Mediterranean
PrayForPalestine PalestineWillBeFree Palestine ","['hezbollahs', 'antiship', 'missiles', 'little', 'remedy', 'pesky', 'foreign', 'warships', 'mediterranean', 'prayforpalestine', 'palestinewillbefree', 'palestine']"
"AllahHuAkbar
Without a doubt with courage and bravery a grenade was thrown into the barrel of the tank destroying it
FreePalaestine PrayForPalestine GazaUnderAttack GazaGenocide 
","['allahhuakbar', 'without', 'doubt', 'courage', 'bravery', 'grenade', 'thrown', 'barrel', 'tank', 'destroying', 'freepalaestine', 'prayforpalestine', 'gazaunderattack', 'gazagenocide']"
"May Allah safeguard the people of Palestine bless them with strength and resilience and bring an end to their sufferings
 PrayForPalestine DivineProtection
FreePalaestine 
FreePalestine 
WeStandWithPalestine 
WeStandWithGaza
FreePalestineFromIsrael","['may', 'allah', 'safeguard', 'people', 'palestine', 'bless', 'strength', 'resilience', 'bring', 'end', 'sufferings', 'prayforpalestine', 'divineprotection', 'freepalaestine', 'freepalestine', 'westandwithpalestine', 'westandwithgaza', 'freepalestinefromisrael']"
"Khalid bin al waleed Mosque was completely destroyed by Israeli shelling in khan Younis Gaza
gazaunderattack palastine 
prayforgaza prayforpalestine","['khalid', 'bin', 'al', 'waleed', 'mosque', 'completely', 'destroyed', 'israeli', 'shelling', 'khan', 'younis', 'gaza', 'gazaunderattack', 'palastine', 'prayforgaza', 'prayforpalestine']"
"Gaza under heavy attack now
51123

Palestine PalestinianLivesMatter prayforpalestine gaza Gazagenocide IsrealPalestineconflict PrayForPalestine IsraelTerrorists PalestineGenocide PalestineWar GazaHospital IsraelAttack GazaUnderAttack GazaUnderSiege…","['gaza', 'heavy', 'attack', '51123', 'palestine', 'palestinianlivesmatter', 'prayforpalestine', 'gaza', 'gazagenocide', 'isrealpalestineconflict', 'prayforpalestine', 'israelterrorists', 'palestinegenocide', 'palestinewar', 'gazahospital', 'israelattack', 'gazaunderattack']"
"More beautiful Zionist talk
Would you like these people to live in your country

palestine savepalestine savegaza palestina palestinian jerusalem children israel alquds bds islam alaqsa prayforpalestine gazastrip turkey savepalestina savealaqsa muslim…","['beautiful', 'zionist', 'talk', 'would', 'like', 'people', 'live', 'country', 'palestine', 'savepalestine', 'savegaza', 'palestina', 'palestinian', 'jerusalem', 'children', 'israel', 'alquds', 'bds', 'islam', 'alaqsa', 'prayforpalestine', 'gazastrip', 'turkey', 'savepalestina', 'savealaqsa']"
"Are you not entertained enough

Palestine PalestinianLivesMatter prayforpalestine gaza Gazagenocide IsrealPalestineconflict PrayForPalestine IsraelTerrorists PalestineGenocide PalestineWar GazaHospital IsraelAttack GazaUnderAttack GazaUnderSiege…","['entertained', 'enough', 'palestine', 'palestinianlivesmatter', 'prayforpalestine', 'gaza', 'gazagenocide', 'isrealpalestineconflict', 'prayforpalestine', 'israelterrorists', 'palestinegenocide', 'palestinewar', 'gazahospital', 'israelattack', 'gazaunderattack']"
Highlights from last nights debate We must condemn the terrorist group of HAMAS usa hamasterrorists hamaspalestine palestine nikkihaley gop gopdebate israel prayforpalestine prayforisrael,"['highlights', 'last', 'nights', 'debate', 'must', 'condemn', 'terrorist', 'group', 'hamas', 'usa', 'hamasterrorists', 'hamaspalestine', 'palestine', 'nikkihaley', 'gop', 'gopdebate', 'israel', 'prayforpalestine', 'prayforisrael']"
The Quick Story About Israel Actions FreePalaestine ISLAM  prayforpalestine gazastrip savepalestina uk unitedstates unitedkingdom northernireland london greatbritian england NYC WashingtonDC losangeles sanfrancisco chicago longislandcity Spain Madrid Berlin,"['quick', 'story', 'israel', 'actions', 'freepalaestine', 'islam', 'prayforpalestine', 'gazastrip', 'savepalestina', 'uk', 'unitedstates', 'unitedkingdom', 'northernireland', 'london', 'greatbritian', 'england', 'nyc', 'washingtondc', 'losangeles', 'sanfrancisco', 'chicago', 'longislandcity', 'spain', 'madrid', 'berlin']"
"Our Patience is nothing…
prayforpalestine
freepalestine","['patience', 'prayforpalestine', 'freepalestine']"
"AllahHuAkbar

This is spain

FreePalaestine PrayForPalestine GazaUnderAttack GazaGenocide 
IMshamstrz","['allahhuakbar', 'spain', 'freepalaestine', 'prayforpalestine', 'gazaunderattack', 'gazagenocide', 'imshamstrz']"
"We are minutes away from death’ Gaza’s alShifa Hospital under attack

FreePalestineFromIsrael PrayForPalestine","['minutes', 'away', 'death', 'gaza', 'alshifa', 'hospital', 'attack', 'freepalestinefromisrael', 'prayforpalestine']"
That was amazing and the real truth  you just nailed it man Our prayers are with Gaza and the Palestinian people StandWithGaza PrayForPalestine” USA usataxe,"['amazing', 'real', 'truth', 'nailed', 'man', 'prayers', 'gaza', 'palestinian', 'people', 'standwithgaza', 'prayforpalestine', 'usa', 'usataxe']"
"TLP Millions March Towards Islamabad Pro Palestine Protest In Pakistan Every Body Is So Angry On Israel Attack On Palestine

Palestine PalestinianLivesMatter prayforpalestine gaza Gazagenocide IsrealPalestineconflict PrayForPalestine IsraelTerrorists…","['tlp', 'millions', 'march', 'towards', 'islamabad', 'pro', 'palestine', 'protest', 'pakistan', 'every', 'body', 'angry', 'israel', 'attack', 'palestine', 'palestine', 'palestinianlivesmatter', 'prayforpalestine', 'gaza', 'gazagenocide', 'isrealpalestineconflict', 'prayforpalestine']"
"Let us join together in heartfelt prayers for the people of Palestine May Allah protect them grant them strength and bring an end to the injustice they face 
PrayForPalestine JummahMubarak PeaceForPalestine FreePalestine 
FreePalaestine 
FreePalestine…","['let', 'us', 'join', 'together', 'heartfelt', 'prayers', 'people', 'palestine', 'may', 'allah', 'protect', 'grant', 'strength', 'bring', 'end', 'injustice', 'face', 'prayforpalestine', 'jummahmubarak', 'peaceforpalestine', 'freepalestine', 'freepalaestine']"
"This little girl is called Julia She lost her parents in the bombing by Israel in Gaza

FreePalestine IsraelTerroristState PrayForPalestine 
   gazaholocust","['little', 'girl', 'called', 'julia', 'lost', 'parents', 'bombing', 'israel', 'gaza', 'freepalestine', 'israelterroriststate', 'prayforpalestine', 'gazaholocust']"
"Philippine human rights campaigner granted bail

FreePalestineFromIsrael PrayForPalestine","['philippine', 'human', 'rights', 'campaigner', 'granted', 'bail', 'freepalestinefromisrael', 'prayforpalestine']"
Day 1150 I thought it was a high number but it is 9150 less than the number murdered in Gaza Palestine since 7 October 100daysofwalking 200DaysOfWalking drogheda PrayForGaza PrayForPalestine 300daysofwalking CeasefireForGaza,"['day', '1150', 'thought', 'high', 'number', '9150', 'less', 'number', 'murdered', 'gaza', 'palestine', 'since', '7', 'october', '100daysofwalking', '200daysofwalking', 'drogheda', 'prayforgaza', 'prayforpalestine', '300daysofwalking', 'ceasefireforgaza']"
"We keep that winning feeling  
Let’s continue the good work

FreePalestineFromIsrael PrayForPalestine","['keep', 'winning', 'feeling', 'let', 'continue', 'good', 'work', 'freepalestinefromisrael', 'prayforpalestine']"
"Assalamuwalaikum   

freepalestian 
PrayForPalestine","['assalamuwalaikum', 'freepalestian', 'prayforpalestine']"
Powerful words and great resilience from the Gaza resident Abu Osama Daher after his wife and all his children became martyrs in the Zionist Israeli bombing in the northern Gaza Strip today,"['powerful', 'words', 'great', 'resilience', 'gaza', 'resident', 'abu', 'osama', 'daher', 'wife', 'children', 'became', 'martyrs', 'zionist', 'israeli', 'bombing', 'northern', 'gaza', 'strip', 'today']"
PrayForPalestine StopGenocidelnGaza,"['prayforpalestine', 'stopgenocidelngaza']"
Julia 3 years old lost her only family to an Israeli bombing  O God Allah Almighty Please help Palastinians Gazas people Ameen  StopGenocideOfPalestinians StopGenocideInGaza PrayForPalestine PrayForGaza,"['julia', '3', 'years', 'old', 'lost', 'family', 'israeli', 'bombing', 'god', 'allah', 'almighty', 'please', 'help', 'palastinians', 'gazas', 'people', 'ameen', 'stopgenocideofpalestinians', 'stopgenocideingaza', 'prayforpalestine', 'prayforgaza']"
"What is the Khalistan movement How is it linked to IndiaCanada tensions

FreePalestineFromIsrael PrayForPalestine PrayForGhaza PrayForPeace","['khalistan', 'movement', 'linked', 'indiacanada', 'tensions', 'freepalestinefromisrael', 'prayforpalestine', 'prayforghaza', 'prayforpeace']"
"Gaza has been asked to choose between ethnic cleansing and genocide…

palestine savepalestine savegaza palestina palestinian jerusalem children israel alquds bds islam alaqsa prayforpalestine gazastrip turkey savepalestina savealaqsa muslim humanrights…","['gaza', 'asked', 'choose', 'ethnic', 'cleansing', 'palestine', 'savepalestine', 'savegaza', 'palestina', 'palestinian', 'jerusalem', 'children', 'israel', 'alquds', 'bds', 'islam', 'alaqsa', 'prayforpalestine', 'gazastrip', 'turkey', 'savepalestina', 'savealaqsa', 'muslim']"
"Health assistance and medical devices for Palestine Alhamdulillah have been channeled on Thursday November 9 2023 This assistance was given to the Jabaliya Syuhada Health Center North Gaza in the form of 1 unit of health aids and 30 packages of medical needs
PrayForpalestine","['health', 'assistance', 'medical', 'devices', 'palestine', 'alhamdulillah', 'channeled', 'thursday', 'november', '9', '2023', 'assistance', 'given', 'jabaliya', 'syuhada', 'health', 'center', 'north', 'gaza', 'form', '1', 'unit', 'health', 'aids', '30', 'packages', 'medical', 'needs', 'prayforpalestine']"
"Many Palestinians continue to struggle for survival due to limited access to basic necessities


PrayforPalestine 
Palestine Gaza PrayForPalestine Pakistan Alkhidmat","['many', 'palestinians', 'continue', 'struggle', 'survival', 'due', 'limited', 'access', 'basic', 'necessities', 'prayforpalestine', 'palestine', 'gaza', 'prayforpalestine', 'pakistan', 'alkhidmat']"
"Dumbass Zionist propaganda and lies debunked again This time by 
AJEnglish
 

palestine savepalestine savegaza palestina palestinian jerusalem children israel alquds bds islam alaqsa prayforpalestine gazastrip turkey savepalestina savealaqsa muslim humanrights…","['dumbass', 'zionist', 'propaganda', 'lies', 'debunked', 'time', 'ajenglish', 'palestine', 'savepalestine', 'savegaza', 'palestina', 'palestinian', 'jerusalem', 'children', 'israel', 'alquds', 'bds', 'islam', 'alaqsa', 'prayforpalestine', 'gazastrip', 'turkey', 'savepalestina', 'savealaqsa', 'muslim']"
"Breaking

Palestine PalestinianLivesMatter prayforpalestine gaza Gazagenocide IsrealPalestineconflict PrayForPalestine IsraelTerrorists PalestineGenocide PalestineWar GazaHospital IsraelAttack GazaUnderAttack GazaUnderSiege CeasefireForGazaNOW","['breaking', 'palestine', 'palestinianlivesmatter', 'prayforpalestine', 'gaza', 'gazagenocide', 'isrealpalestineconflict', 'prayforpalestine', 'israelterrorists', 'palestinegenocide', 'palestinewar', 'gazahospital', 'israelattack', 'gazaunderattack', 'gazaundersiege', 'ceasefireforgazanow']"
Manipulation of media narratives in the IsraeliPalestinian conflict FreeGazaNow FreePalaestin PrayForPeace PrayForPalestine,"['manipulation', 'media', 'narratives', 'israelipalestinian', 'conflict', 'freegazanow', 'freepalaestin', 'prayforpeace', 'prayforpalestine']"
"AsslamuAllekum  may Allah be pleased with him
Abu Ubaidah reiterated the statement of Khalid bin Walid","['asslamuallekum', 'may', 'allah', 'pleased', 'abu', 'ubaidah', 'reiterated', 'statement', 'khalid', 'bin', 'walid']"
By God I have brought to you people who love death just as you love life InshaAllah  Allah will surely grant success one day,"['god', 'brought', 'people', 'love', 'death', 'love', 'life', 'inshaallah', 'allah', 'surely', 'grant', 'success', 'one', 'day']"
FreePalaestine PrayForPalestine  GazaGenocide,"['freepalaestine', 'prayforpalestine', 'gazagenocide']"
" StandWithPalestine  We mourn the loss of many brothers and sisters to acts of terrorism Together lets strive for peace and justice 
Do you know who the real terrorists are   Everyone know them Occupier
PrayForPalestine EndViolence ","['standwithpalestine', 'mourn', 'loss', 'many', 'brothers', 'sisters', 'acts', 'terrorism', 'together', 'lets', 'strive', 'peace', 'justice', 'know', 'real', 'terrorists', 'everyone', 'know', 'occupier', 'prayforpalestine', 'endviolence']"
In Jakarta people are enthusiastic about PrayForPalestine,"['jakarta', 'people', 'enthusiastic', 'prayforpalestine']"
This is Reality    PrayForPalestine,"['reality', 'prayforpalestine']"
"Local sources
Armed clashes broke out around the Balata camp east of Nablus prayforpalestine GazaGenoside IsraelTerorrist IsraelNewNazisim","['local', 'sources', 'armed', 'clashes', 'broke', 'around', 'balata', 'camp', 'east', 'nablus', 'prayforpalestine', 'gazagenoside', 'israelterorrist', 'israelnewnazisim']"
"Written on our college whiteboard 
FreePalaestine PrayForPalestine","['written', 'college', 'whiteboard', 'freepalaestine', 'prayforpalestine']"
"Palestinians valiantly stand for their faith and strive to protect Islam reaching out their hand for our crucial support


PrayforPalestine 
Palestine Gaza PrayForPalestine","['palestinians', 'valiantly', 'stand', 'faith', 'strive', 'protect', 'islam', 'reaching', 'hand', 'crucial', 'support', 'prayforpalestine', 'palestine', 'gaza', 'prayforpalestine']"
"O Allah strengthen the defense of the Palestinian fighters against their enemies Zionist Israel and its allies

O Allah help the Palestinian fighters and grant them victory over their enemies","['allah', 'strengthen', 'defense', 'palestinian', 'fighters', 'enemies', 'zionist', 'israel', 'allies', 'allah', 'help', 'palestinian', 'fighters', 'grant', 'victory', 'enemies']"
WeStandWithPalestine FreePalestine PrayForPalestine,"['westandwithpalestine', 'freepalestine', 'prayforpalestine']"
"Listening to this 

FreePalaestin FreePalaestine FreePalestineFormZionist PrayForGaza PrayForPalestine","['listening', 'freepalaestin', 'freepalaestine', 'freepalestineformzionist', 'prayforgaza', 'prayforpalestine']"
" Heartbreaking to see the destruction in Palestine Lets stand together and pray for peace justice and support for the affected May Allah bring relief to those in need  PrayForPalestine PeaceAndJustice
 GazaGeniocide 
CeasefireInGazaNOW 
Survivor","['heartbreaking', 'see', 'destruction', 'palestine', 'lets', 'stand', 'together', 'pray', 'peace', 'justice', 'support', 'affected', 'may', 'allah', 'bring', 'relief', 'need', 'prayforpalestine', 'peaceandjustice', 'gazageniocide', 'ceasefireingazanow', 'survivor']"
freepalestian ,['freepalestian']
PrayForPalestine,['prayforpalestine']
Oh Palestine you are in our hearts and prayers Our Lord pour upon us patience and plant firmly our feet and give us victory over the disbelieving people Quran 2250 FreePalestine SaveGaza PrayForPalestine,"['oh', 'palestine', 'hearts', 'prayers', 'lord', 'pour', 'upon', 'us', 'patience', 'plant', 'firmly', 'feet', 'give', 'us', 'victory', 'disbelieving', 'people', 'quran', '2250', 'freepalestine', 'savegaza', 'prayforpalestine']"
"This is an example of how to destroy your life in a blink of eyes

May Allah help them 

PrayForPalestine  ","['example', 'destroy', 'life', 'blink', 'eyes', 'may', 'allah', 'help', 'prayforpalestine']"
"The last hug
from the river to the seaPalestine will be free

Free free Palestine free free plaestine 

palestine freepalestine istandwithpalestine freepalestine istandwithpalestine palestinewillbefree palestineunderattack prayforpalestine gaza gazaunderattack","['last', 'hug', 'river', 'seapalestine', 'free', 'free', 'free', 'palestine', 'free', 'free', 'plaestine', 'palestine', 'freepalestine', 'istandwithpalestine', 'freepalestine', 'istandwithpalestine', 'palestinewillbefree', 'palestineunderattack', 'prayforpalestine', 'gaza', 'gazaunderattack']"
"A man is seen pulling a cart to transfer injuries to hospital in khan Younis southern Gaza city 51123 
freepalestine freepalestine gaza palestine freegaza prayforgaza prayforpalestine savegaza staywithpalestine","['man', 'seen', 'pulling', 'cart', 'transfer', 'injuries', 'hospital', 'khan', 'younis', 'southern', 'gaza', 'city', '51123', 'freepalestine', 'freepalestine', 'gaza', 'palestine', 'freegaza', 'prayforgaza', 'prayforpalestine', 'savegaza', 'staywithpalestine']"
GAZA PRAYFORPALESTINE FreePalestine freepalestin motazazaiza gazahologaust gazageniocide Abu Ubaida Al IttihadAbha trending,"['gaza', 'prayforpalestine', 'freepalestine', 'freepalestin', 'motazazaiza', 'gazahologaust', 'gazageniocide', 'abu', 'ubaida', 'al', 'ittihadabha', 'trending']"
Dont stop talking about PALESTINE palestinegenocide freepalestine palestinewillbefree prayforpalestine,"['dont', 'stop', 'talking', 'palestine', 'palestinegenocide', 'freepalestine', 'palestinewillbefree', 'prayforpalestine']"
